waktu,SO2
2021-07-27,4.434
2021-07-28,-0.425
2021-07-29,0.262
2021-07-30,1.134
2021-07-31,1.675
2021-08-01,1.891
2021-08-02,-1.474
2021-08-03,1.026
2021-08-04,0.041
2021-08-05,3.38
2021-08-06,1.302
2021-08-07,1.57
2021-08-08,3.646
2021-08-09,3.053
2021-08-10,3.053
2021-08-11,3.053
2021-08-12,2.231
2021-08-13,2.418
2021-08-14,-0.306
2021-08-15,2.577
2021-08-16,3.092
2021-08-17,0.742
2021-08-18,2.04
2021-08-19,6.726
2021-08-20,0.174
2021-08-21,-0.646
2021-08-22,3.725
2021-08-23,2.375
2021-08-24,0.7
2021-08-25,2.581
2021-08-26,1.338
2021-08-27,0.263
2021-08-28,2.262
2021-08-29,1.435
2021-08-30,6.457
2021-08-31,3.672
2021-09-01,2.229
2021-09-02,6.615
2021-09-03,5.445
2021-09-04,0.861
2021-09-05,0.412
2021-09-06,1.752
2021-09-07,1.667
2021-09-08,10.921
2021-09-09,2.027
2021-09-10,1.379
2021-09-11,1.379
2021-09-12,1.379
2021-09-13,-0.895
2021-09-14,0.688
2021-09-15,0.916
2021-09-16,10.063
2021-09-17,0.439
2021-09-18,1.91
2021-09-19,1.586
2021-09-20,2.503
2021-09-21,2.503
2021-09-22,6.663
2021-09-23,6.663
2021-09-24,2.325
2021-09-25,0.513
2021-09-26,0.513
2021-09-27,5.215
2021-09-28,-0.422
2021-09-29,1.75
2021-09-30,1.129
2021-10-01,3.569
2021-10-02,0.362
2021-10-03,-0.729
2021-10-04,-0.729
2021-10-05,-0.756
2021-10-06,-0.756
2021-10-07,4.57
2021-10-08,0.919
2021-10-09,-0.438
2021-10-10,3.049
2021-10-11,7.569
2021-10-12,1.194
2021-10-13,5.964
2021-10-14,-0.573
2021-10-15,-1.691
2021-10-16,2.89
2021-10-17,4.248
2021-10-18,4.248
2021-10-19,4.248
2021-10-20,-0.437
2021-10-21,2.339
2021-10-22,-0.927
2021-10-23,5.78
2021-10-24,1.829
2021-10-25,-0.403
2021-10-26,-4.245
2021-10-27,-4.245
2021-10-28,4.876
2021-10-29,4.876
2021-10-30,3.728
2021-10-31,3.728
2021-11-01,3.728
2021-11-02,-0.014
2021-11-03,6.336
2021-11-04,6.336
2021-11-05,6.336
2021-11-06,0.093
2021-11-07,0.651
2021-11-08,0.651
2021-11-09,-0.014
2021-11-10,-0.014
2021-11-11,-0.014
2021-11-12,-0.014
2021-11-13,-0.014
2021-11-14,-0.014
2021-11-15,-0.014
2021-11-16,-0.014
2021-11-17,-3.154
2021-11-18,1.483
2021-11-19,1.483
2021-11-20,1.483
2021-11-21,-0.861
2021-11-22,-0.304
2021-11-23,2.05
2021-11-24,2.05
2021-11-25,2.05
2021-11-26,2.05
2021-11-27,2.05
2021-11-28,2.05
2021-11-29,2.05
2021-11-30,2.05
2021-12-01,2.05
2021-12-02,-1.289
2021-12-03,-1.289
2021-12-04,-1.289
2021-12-05,-1.289
2021-12-06,-1.289
2021-12-07,-1.289
2021-12-08,-1.289
2021-12-09,7.733
2021-12-10,11.017
2021-12-11,11.017
2021-12-12,6.754
2021-12-13,6.754
2021-12-14,3.004
2021-12-15,3.004
2021-12-16,3.004
2021-12-17,3.004
2021-12-18,-0.065
2021-12-19,0.955
2021-12-20,3.35
2021-12-21,3.35
2021-12-22,0.48
2021-12-23,-0.522
2021-12-24,0.244
2021-12-25,0.244
2021-12-26,1.994
2021-12-27,1.994
2021-12-28,1.787
2021-12-29,1.787
2021-12-30,1.787
2021-12-31,1.787
2022-01-01,1.787
2022-01-02,3.542
2022-01-03,-1.167
2022-01-04,-1.96
2022-01-05,-1.96
2022-01-06,-1.96
2022-01-07,-1.772
2022-01-08,-0.624
2022-01-09,0.782
2022-01-10,-0.465
2022-01-11,-0.465
2022-01-12,-0.465
2022-01-13,2.06
2022-01-14,-0.93
2022-01-15,-0.93
2022-01-16,-0.93
2022-01-17,-0.93
2022-01-18,-0.93
2022-01-19,-0.93
2022-01-20,10.051
2022-01-21,5.458
2022-01-22,5.458
2022-01-23,1.101
2022-01-24,1.189
2022-01-25,-0.771
2022-01-26,0.42
2022-01-27,0.42
2022-01-28,0.42
2022-01-29,1.5
2022-01-30,1.5
2022-01-31,-1.992
2022-02-01,-1.992
2022-02-02,-1.992
2022-02-03,6.806
2022-02-04,6.806
2022-02-05,-0.035
2022-02-06,-0.035
2022-02-07,-0.035
2022-02-08,3.387
2022-02-09,3.387
2022-02-10,3.387
2022-02-11,3.387
2022-02-12,-2.1759999999999997
2022-02-13,-2.1759999999999997
2022-02-14,-2.1759999999999997
2022-02-15,0.515
2022-02-16,1.091
2022-02-17,1.091
2022-02-18,1.091
2022-02-19,1.513
2022-02-20,1.513
2022-02-21,1.513
2022-02-22,2.825
2022-02-23,2.825
2022-02-24,-1.169
2022-02-25,2.67
2022-02-26,2.67
2022-02-27,2.67
2022-02-28,2.67
2022-03-01,2.67
2022-03-02,2.67
2022-03-03,0.396
2022-03-04,-2.187
2022-03-05,2.534
2022-03-06,2.534
2022-03-07,0.588
2022-03-08,0.428
2022-03-09,0.428
2022-03-10,0.12
2022-03-11,0.12
2022-03-12,0.12
2022-03-13,0.12
2022-03-14,0.502
2022-03-15,-1.116
2022-03-16,-1.116
2022-03-17,-4.3
2022-03-18,0.999
2022-03-19,0.999
2022-03-20,0.999
2022-03-21,0.999
2022-03-22,0.999
2022-03-23,2.965
2022-03-24,-1.044
2022-03-25,-0.822
2022-03-26,0.663
2022-03-27,0.663
2022-03-28,-1.946
2022-03-29,-0.102
2022-03-30,-0.2905
2022-03-31,1.916
2022-04-01,1.916
2022-04-02,1.916
2022-04-03,3.7140000000000004
